,doc_embeddings,labels,text_names
0,"[-0.3852134346961975, -2.2532541751861572, -0.0393625944852829, 0.7492175102233887, 1.0160402059555054, -0.6457611322402954, -0.7582388520240784, 0.5707425475120544, 0.5155249834060669, 0.991263210773468, 0.18472260236740112, 0.1541813164949417, -1.1178573369979858, 0.744987428188324, 0.8544201850891113, 0.7109098434448242, 1.1577032804489136, 1.0330084562301636, -1.0076783895492554, -0.4706415832042694, 0.9094931483268738, 0.606131374835968, 0.16167643666267395, -1.2633261680603027, -0.5747747421264648, 0.42677274346351624, -0.16290129721164703]",apple_pie,1.txt
1,"[-0.24955427646636963, -0.9826421737670898, 1.2733805179595947, 0.6386189460754395, 0.29883211851119995, -0.48216012120246887, -1.6217360496520996, 0.06454508006572723, -0.05049533024430275, 1.0704166889190674, 0.6146842241287231, -0.3223850727081299, -1.0097112655639648, -2.087902784347534, -0.2903742492198944, 0.585821270942688, -1.1621474027633667, -0.16182991862297058, -2.2434589862823486, 0.1383199542760849, 1.2462780475616455, 0.9022542834281921, 0.659988522529602, -0.15901608765125275, 0.2514961063861847, 0.426689475774765, -1.8259071111679077]",apple_pie,10.txt
2,"[-0.3595167398452759, -1.917096495628357, 0.14980748295783997, 0.1444930136203766, 0.6374505758285522, -0.9062523245811462, 0.027453133836388588, 1.4877101182937622, 1.0153942108154297, -0.08049966394901276, -0.6284212470054626, -0.9059069752693176, -0.13969933986663818, -0.929963231086731, 0.2135075330734253, 1.0709991455078125, -2.123985767364502, -0.705620288848877, -2.018287420272827, -0.788102388381958, -0.3069562613964081, 0.9652597308158875, 0.3598654270172119, -0.9013667106628418, 1.253180742263794, 0.7351143956184387, -0.8133828639984131]",apple_pie,11.txt
3,"[-1.8282828330993652, -1.1303541660308838, 0.24037380516529083, 1.2837679386138916, 0.9459928870201111, 0.25031760334968567, -0.08652771264314651, 0.6614630818367004, 2.015144109725952, 0.9264756441116333, 1.617751955986023, -0.5384947061538696, 0.8318542838096619, 0.4919516444206238, -0.024562623351812363, 0.039842698723077774, -0.7801069617271423, 0.06530259549617767, -1.9282993078231812, -1.6726651191711426, 0.03574064373970032, 1.238183617591858, 0.5001777410507202, -0.7510238289833069, 0.18064133822917938, -0.37028372287750244, -0.571240246295929]",apple_pie,12.txt
4,"[-0.26412728428840637, -0.7311620712280273, 0.8536660075187683, 0.7830681800842285, 1.7631839513778687, -1.693014144897461, 0.5747073888778687, 2.9095458984375, -0.2686271667480469, 0.08923451602458954, -0.08093082904815674, -0.400955468416214, 1.2936557531356812, 0.18653009831905365, -0.5676782727241516, 2.5332016944885254, -0.5756424069404602, 0.8314453363418579, -0.419396311044693, 0.8613494038581848, 1.1875170469284058, 0.6237115263938904, 0.8751842975616455, -1.1785680055618286, -1.0358543395996094, 1.2842589616775513, -0.6249262094497681]",apple_pie,13.txt
5,"[-0.266160786151886, -0.8897382616996765, -0.21169769763946533, 0.8404332995414734, 0.795712411403656, -1.087979793548584, 1.2110364437103271, 3.27958083152771, -0.1464422196149826, -0.1934676468372345, 0.48076802492141724, 0.5087129473686218, 1.728300929069519, -0.20029404759407043, -0.2621259391307831, 1.6226744651794434, -0.8041746616363525, 1.4332917928695679, 0.48835915327072144, -0.4786708652973175, 1.547040343284607, 0.6795777082443237, -0.29930537939071655, -0.9329550862312317, 0.08475922048091888, 1.6527596712112427, -1.0935628414154053]",apple_pie,14.txt
6,"[-0.6199544668197632, -2.098040819168091, 0.46392205357551575, 0.1718912422657013, 0.45839831233024597, -0.31993526220321655, -0.3099604547023773, 1.8947161436080933, 1.4837311506271362, 0.12253045290708542, 1.4026901721954346, -0.7354920506477356, 0.08062995970249176, -0.17025306820869446, 0.24264173209667206, -1.5036829710006714, 0.17884688079357147, 0.392435759305954, -1.0189807415008545, -0.6180549263954163, 1.0192046165466309, 0.21409067511558533, -0.0787140503525734, -1.1226550340652466, -0.11017940193414688, -0.8725098371505737, -0.4134581387042999]",apple_pie,15.txt
7,"[-0.9792886972427368, -1.758888840675354, 0.8872416019439697, 2.010082483291626, 1.100782871246338, -1.143515944480896, 0.24316221475601196, -0.367057204246521, -0.7322859764099121, 0.914103627204895, 0.8090552687644958, -0.3623516261577606, -0.26782891154289246, 1.0949417352676392, 1.4893351793289185, 0.5638043284416199, 0.6163527965545654, 0.9553015232086182, -0.8726203441619873, -1.3240662813186646, 0.21262408792972565, 1.3658984899520874, 0.8366872072219849, -1.641241192817688, 0.35234808921813965, 0.5293156504631042, 0.7963160872459412]",apple_pie,2.txt
8,"[-1.4469667673110962, -1.408789038658142, 0.21028991043567657, 1.4683927297592163, 1.1692649126052856, 1.3553376197814941, -0.43675094842910767, 0.7396374940872192, 0.5022305846214294, 1.0004740953445435, 0.9847162961959839, -0.26550567150115967, 0.6120026707649231, -0.2482905238866806, 0.14829041063785553, 0.36978259682655334, -0.008692408911883831, 0.06211131438612938, -1.6035542488098145, -1.1098759174346924, 0.5449410676956177, 1.6884976625442505, 0.17402946949005127, -1.754272222518921, -0.14459915459156036, 0.1438412368297577, -0.7104837894439697]",apple_pie,3.txt
9,"[-1.346577525138855, -1.6965863704681396, 0.44381430745124817, 1.0985512733459473, 1.096648097038269, -0.42655953764915466, -0.9152370095252991, 1.1290241479873657, 0.27055954933166504, 1.3807064294815063, 1.291945457458496, -0.3816518485546112, -0.7172001004219055, 0.16894468665122986, -0.4769643247127533, -0.7112963199615479, -0.1528981477022171, 0.974027693271637, -1.1315921545028687, -0.0866527333855629, 1.143853783607483, 0.10297274589538574, -0.05379850044846535, -0.14834696054458618, 0.20242880284786224, -0.8970382213592529, -1.0263292789459229]",apple_pie,4.txt
